Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_cm,Filtered_Distance_cm,Signal_Power_dBm
1,426443,20,110.73,109.73,0.00
1,426449,30,97.12,96.96,0.00
1,426454,40,166.09,165.71,0.00
1,426486,10,100.40,100.79,0.00
1,426493,20,110.26,109.99,0.00
1,426499,30,95.24,96.10,0.00
1,426505,40,140.75,153.23,0.00
1,427037,10,104.16,102.47,0.00
1,427043,20,103.69,106.84,0.00
1,427049,30,106.50,101.30,0.00
1,427055,40,163.74,158.49,0.00
1,427086,10,103.69,103.08,0.00
1,427093,20,106.97,106.91,0.00
1,427099,30,102.28,101.79,0.00
1,427104,40,160.93,159.71,0.00
1,427137,10,105.10,104.09,0.00
1,427143,20,110.26,108.58,0.00
1,427149,30,100.87,101.33,0.00
1,427155,40,143.10,151.40,0.00
1,427186,10,101.81,102.95,0.00
1,427193,20,109.79,109.18,0.00
1,427199,30,105.56,103.45,0.00
1,427204,40,139.35,145.37,0.00
1,427237,10,100.40,101.68,0.00
1,427243,20,109.32,109.25,0.00
1,427249,30,103.22,103.33,0.00
1,427255,40,158.11,151.74,0.00
1,427287,10,101.81,101.74,0.00
1,427293,20,106.50,107.88,0.00
1,427299,30,103.69,103.51,0.00
1,427305,40,161.40,156.57,0.00
1,427337,10,105.10,103.42,0.00
1,427343,20,110.26,109.07,0.00
1,427349,30,101.81,102.66,0.00
1,427355,40,119.17,137.87,0.00
1,427387,10,104.63,104.02,0.00
1,427393,20,112.60,110.83,0.00
1,427399,30,101.34,102.00,0.00
1,427405,40,162.34,150.10,0.00
1,427437,10,102.75,103.39,0.00
1,427443,20,106.50,108.67,0.00
1,427449,30,100.40,101.20,0.00
1,427454,40,162.34,156.22,0.00
1,427487,10,107.44,105.41,0.00
1,427493,20,108.85,108.76,0.00
1,427499,30,102.75,101.98,0.00
1,427505,40,163.74,159.98,0.00
1,428037,10,103.22,104.32,0.00
1,428043,20,109.32,109.04,0.00
1,428049,30,96.18,99.08,0.00
1,428055,40,162.80,161.39,0.00
1,428087,10,102.28,103.30,0.00
1,428093,20,106.97,108.01,0.00
1,428099,30,101.81,100.44,0.00
1,428105,40,167.50,164.44,0.00
1,428137,10,100.40,101.85,0.00
1,428143,20,107.91,107.96,0.00
1,428149,30,98.06,99.25,0.00
1,428155,40,167.97,166.20,0.00
1,428187,10,102.28,102.07,0.00
1,428193,20,106.03,107.00,0.00
1,428199,30,99.47,99.36,0.00
1,428205,40,165.62,165.91,0.00
1,428237,10,100.87,101.47,0.00
1,428243,20,107.44,107.22,0.00
1,428249,30,97.12,98.24,0.00
1,428255,40,163.74,164.83,0.00
1,428287,10,101.34,101.41,0.00
1,428293,20,107.91,107.56,0.00
1,428299,30,98.06,98.15,0.00
1,428305,40,163.74,164.28,0.00
1,428337,10,101.81,101.61,0.00
1,428343,20,109.79,108.68,0.00
1,428349,30,94.30,96.23,0.00
1,428355,40,165.15,164.72,0.00
1,428386,10,99.93,100.77,0.00
1,428393,20,106.97,107.82,0.00
1,428398,30,94.30,95.27,0.00
